tollgate_id,time_window,Time,direction,pressure,sea_pressure,wind_direction,wind_speed,temperature,rel_humidity,precipitation,volume,dayofweek
3,9/19/2016 0:00,12:00:00 PM,0,1008.2,1013.2,329,2.8,22.2,76,0,17,Monday
3,9/19/2016 0:00,12:00:00 PM,1,1008.2,1013.2,329,2.8,22.2,76,0,181,Monday
1,9/19/2016 0:00,12:00:00 PM,0,1008.2,1013.2,329,2.8,22.2,76,0,13,Monday
1,9/19/2016 0:00,12:00:00 PM,1,1008.2,1013.2,329,2.8,22.2,76,0,140,Monday
2,9/19/2016 0:00,12:00:00 PM,0,1008.2,1013.2,329,2.8,22.2,76,0,2,Monday
1,9/19/2016 0:20,12:20:00 PM,0,1008.2,1013.2,329,2.8,22.2,76,0,6,Monday
1,9/19/2016 0:20,12:20:00 PM,1,1008.2,1013.2,329,2.8,22.2,76,0,56,Monday
3,9/19/2016 0:20,12:20:00 PM,0,1008.2,1013.2,329,2.8,22.2,76,0,16,Monday
3,9/19/2016 0:20,12:20:00 PM,1,1008.2,1013.2,329,2.8,22.2,76,0,112,Monday
3,9/19/2016 0:40,12:40:00 PM,0,1008.2,1013.2,329,2.8,22.2,76,0,16,Monday
3,9/19/2016 0:40,12:40:00 PM,1,1008.2,1013.2,329,2.8,22.2,76,0,93,Monday
1,9/19/2016 0:40,12:40:00 PM,0,1008.2,1013.2,329,2.8,22.2,76,0,9,Monday
1,9/19/2016 0:40,12:40:00 PM,1,1008.2,1013.2,329,2.8,22.2,76,0,31,Monday
3,9/19/2016 1:00,1:00:00 AM,0,1008.2,1013.2,329,2.8,22.2,76,0,17,Monday
3,9/19/2016 1:00,1:00:00 AM,1,1008.2,1013.2,329,2.8,22.2,76,0,4,Monday
2,9/19/2016 1:00,1:00:00 AM,0,1008.2,1013.2,329,2.8,22.2,76,0,1,Monday
1,9/19/2016 1:00,1:00:00 AM,0,1008.2,1013.2,329,2.8,22.2,76,0,10,Monday
1,9/19/2016 1:00,1:00:00 AM,1,1008.2,1013.2,329,2.8,22.2,76,0,4,Monday
1,9/19/2016 1:20,1:20:00 AM,0,1008.2,1013.2,329,2.8,22.2,76,0,14,Monday
1,9/19/2016 1:20,1:20:00 AM,1,1008.2,1013.2,329,2.8,22.2,76,0,14,Monday
3,9/19/2016 1:20,1:20:00 AM,0,1008.2,1013.2,329,2.8,22.2,76,0,17,Monday
3,9/19/2016 1:20,1:20:00 AM,1,1008.2,1013.2,329,2.8,22.2,76,0,5,Monday
2,9/19/2016 1:40,1:40:00 AM,0,1008.2,1013.2,329,2.8,22.2,76,0,2,Monday
1,9/19/2016 1:40,1:40:00 AM,0,1008.2,1013.2,329,2.8,22.2,76,0,10,Monday
1,9/19/2016 1:40,1:40:00 AM,1,1008.2,1013.2,329,2.8,22.2,76,0,7,Monday
3,9/19/2016 1:40,1:40:00 AM,0,1008.2,1013.2,329,2.8,22.2,76,0,11,Monday
3,9/19/2016 1:40,1:40:00 AM,1,1008.2,1013.2,329,2.8,22.2,76,0,4,Monday
1,9/19/2016 2:00,2:00:00 AM,0,1008.2,1013.2,329,2.8,22.2,76,0,7,Monday
1,9/19/2016 2:00,2:00:00 AM,1,1008.2,1013.2,329,2.8,22.2,76,0,7,Monday
3,9/19/2016 2:00,2:00:00 AM,0,1008.2,1013.2,329,2.8,22.2,76,0,11,Monday
3,9/19/2016 2:00,2:00:00 AM,1,1008.2,1013.2,329,2.8,22.2,76,0,5,Monday
